similarity,combination
11,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol']
10,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'TokenSale.sol', 'Standard223TokenReceiverMock.sol']
15,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
13,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'TokenSale.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
11,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
12,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
11,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
12,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
12,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
11,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
11,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
22,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
11,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'TokenSale.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
